observableId	preequilibrationConditionId	simulationConditionId	measurment	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution
F6P			0.08712121212121211	0	NaN			
F6P			0.14742822966507174	10	NaN			
F6P			0.20587453482190327	20	NaN			
F6P			0.31552365762892076	40	NaN			
F6P			0.4210526315789474	60	NaN			
F6P			0.4871743753322701	80	NaN			
F6P			0.5188729399255715	120	NaN			
F6P			0.5466507177033493	160	NaN			
F6P			0.5401382243487507	200	NaN			
stdev			0.004700887608672884	0	NaN			
stdev			0.014801876400436112	10	NaN			
stdev			0.00678514681574366	20	NaN			
stdev			0.02455824242450184	40	NaN			
stdev			0.016163086171219563	60	NaN			
stdev			0.03700856188648954	80	NaN			
stdev			0.04454853254715712	120	NaN			
stdev				160	NaN			
stdev			0.04489159236101288	200	NaN			
3PG			1.78505291005291	0	NaN			
3PG			1.3055555555555554	10	NaN			
3PG			1.0462962962962963	20	NaN			
3PG			0.4603174603174603	40	NaN			
3PG			0.22552910052910052	60	NaN			
3PG			0.043650793650793655	80	NaN			
3PG			0.015211640211640209	120	NaN			
3PG			0.002777777777777777	160	NaN			
3PG			0.07347883597883596	200	NaN			
stdev.1			0.22835856398404558	0	NaN			
stdev.1			0.09259731658395264	10	NaN			
stdev.1			0.11964686042772893	20	NaN			
stdev.1			0.1039159871045513	40	NaN			
stdev.1			0.05258248468333563	60	NaN			
stdev.1			0.024781738088882534	80	NaN			
stdev.1			0.01652115872592169	120	NaN			
stdev.1				160	NaN			
stdev.1			0.09292417480599159	200	NaN			
PYR			0.3873015873015873	0	NaN			
PYR			0.6198412698412699	10	NaN			
PYR			0.8624338624338624	20	NaN			
PYR			1.3820105820105821	40	NaN			
PYR			1.682010582010582	60	NaN			
PYR			1.93968253968254	80	NaN			
PYR			2.124867724867725	120	NaN			
PYR			2.774603174603175	160	NaN			
PYR			2.488148148148148	200	NaN			
stdev.2			0.02026531005524396	0	NaN			
stdev.2			0.03703892663358108	10	NaN			
stdev.2			0.04820625599954753	20	NaN			
stdev.2			0.05312917588901456	40	NaN			
stdev.2			0.1516710757736538	60	NaN			
stdev.2			0.05663353261876596	80	NaN			
stdev.2			0.1435286978566435	120	NaN			
stdev.2				160	NaN			
stdev.2			0.3908040091638865	200	NaN			
DHAP			0.02074074074074074	0	NaN			
DHAP			0.0923809523809524	10	NaN			
DHAP			0.1573015873015873	20	NaN			
DHAP			0.1958730158730159	40	NaN			
DHAP			0.18835978835978842	60	NaN			
DHAP			0.1447089947089947	80	NaN			
DHAP			0.03788359788359789	120	NaN			
DHAP			0.01142857142857143	160	NaN			
DHAP			0.006455026455026456	200	NaN			
SD			0.006899438439239387	0	NaN			
SD			0.017938614850268812	10	NaN			
SD			0.00468993228656959	20	NaN			
SD			0.0065599931173879016	40	NaN			
SD			0.019232786038141936	60	NaN			
SD			0.011304811976787583	80	NaN			
SD			0.00695581080384305	120	NaN			
SD				160	NaN			
SD			0.0010327630315313835	200	NaN			
GAP			0.09015873015873016	0	NaN			
GAP			0.11608465608465608	10	NaN			
GAP			0.15767195767195766	20	NaN			
GAP			0.13376190476190478	40	NaN			
GAP			0.09936507936507936	60	NaN			
GAP			0.061322751322751334	80	NaN			
GAP			0.008412698412698412	120	NaN			
GAP			0.0020634920634920637	160	NaN			
GAP			0.012592592592592593	200	NaN			
SD.1			0.023368939467199215	0	NaN			
SD.1			0.016953936476203246	10	NaN			
SD.1			0.02703465546205392	20	NaN			
SD.1			0.013663956370821146	40	NaN			
SD.1			0.029629015488722203	60	NaN			
SD.1			0.01050181250278366	80	NaN			
SD.1			0.0045922146480918856	120	NaN			
SD.1				160	NaN			
SD.1			0.01658812433087787	200	NaN			
