r_model	r_value	combinations	p_value	p_model
{Bachmann_MSB2011}	0.0	1_1_08_06	0	{Leber2015}
{Bachmann_MSB2011}	0.0	1_1_10_14	0	{Leber2015}
{Bachmann_MSB2011}	0.0	1_1_12_10	0	{Leber2015}
{Bachmann_MSB2011}	0.0	1_1_16_08	0	{Leber2015}
{Bachmann_MSB2011}	0.0929035635	1_6_08_06	0	{Leber2015}
{Bachmann_MSB2011}	0.0	1_6_10_14	0	{Leber2015}
{Bachmann_MSB2011}	0.0091071566	1_6_12_10	0	{Leber2015}
{Bachmann_MSB2011}	0.0	1_6_16_08	0	{Leber2015}
{Bachmann_MSB2011}	0.0868359901	1_7_08_06	0	{Leber2015}
{Bachmann_MSB2011}	0.0056965783	1_7_10_14	0	{Leber2015}
{Bachmann_MSB2011}	0.008712654200000001	1_7_12_10	0	{Leber2015}
{Bachmann_MSB2011}	0.0130920624	1_7_16_08	0	{Leber2015}
{Bachmann_MSB2011}	0.0386502066	1_8_08_06	0	{Leber2015}
{Bachmann_MSB2011}	0.0	1_8_10_14	0	{Leber2015}
{Bachmann_MSB2011}	0.0	1_8_12_10	0	{Leber2015}
{Bachmann_MSB2011}	0.010787413700000002	1_8_16_08	0	{Leber2015}
{Bachmann_MSB2011}	0.28581652280000003	1_9_08_06	0	{Leber2015}
{Bachmann_MSB2011}	0.0128156017	1_9_10_14	0	{Leber2015}
{Bachmann_MSB2011}	0.0218597555	1_9_12_10	0	{Leber2015}
{Bachmann_MSB2011}	0.0384134465	1_9_16_08	0	{Leber2015}
{Bachmann_MSB2011}	0.0	2_1_08_06	0	{Leber2015}
{Bachmann_MSB2011}	0.0	2_1_10_14	0	{Leber2015}
{Bachmann_MSB2011}	0.0	2_1_12_10	0	{Leber2015}
{Bachmann_MSB2011}	0.0	2_1_16_08	0	{Leber2015}
{Bachmann_MSB2011}	0.1832836163	2_6_08_06	0	{Leber2015}
{Bachmann_MSB2011}	0.0599364055	2_6_10_14	0	{Leber2015}
{Bachmann_MSB2011}	0.0901765428	2_6_12_10	0	{Leber2015}
{Bachmann_MSB2011}	0.1048228346	2_6_16_08	0	{Leber2015}
{Bachmann_MSB2011}	0.1953590755	2_7_08_06	0	{Leber2015}
{Bachmann_MSB2011}	0.061653351900000014	2_7_10_14	0	{Leber2015}
{Bachmann_MSB2011}	0.0973862684	2_7_12_10	0	{Leber2015}
{Bachmann_MSB2011}	0.1138956224	2_7_16_08	0	{Leber2015}
{Bachmann_MSB2011}	0.0580423646	2_8_08_06	0	{Leber2015}
{Bachmann_MSB2011}	0.0208198933	2_8_10_14	0	{Leber2015}
{Bachmann_MSB2011}	0.0275929372	2_8_12_10	0	{Leber2015}
{Bachmann_MSB2011}	0.0296103391	2_8_16_08	0	{Leber2015}
{Bachmann_MSB2011}	1.0	2_9_08_06	0	{Leber2015}
{Bachmann_MSB2011}	0.2139198554	2_9_10_14	0	{Leber2015}
{Bachmann_MSB2011}	0.3678121223	2_9_12_10	0	{Leber2015}
{Bachmann_MSB2011}	0.4528382113	2_9_16_08	0	{Leber2015}
{Becker_Science2010}	0.0	1_1_08_06	0	{Lai2014}
{Becker_Science2010}	0.0	1_1_10_14	0	{Lai2014}
{Becker_Science2010}	0.0	1_1_12_10	0	{Lai2014}
{Becker_Science2010}	0.0	1_1_16_08	0	{Lai2014}
{Becker_Science2010}	0.1285935931	1_6_08_06	0	{Lai2014}
{Becker_Science2010}	0.074232909	1_6_10_14	0	{Lai2014}
{Becker_Science2010}	0.0061050326	1_6_12_10	0	{Lai2014}
{Becker_Science2010}	0.0093240618	1_6_16_08	0	{Lai2014}
{Becker_Science2010}	0.2020651083	1_7_08_06	0	{Lai2014}
